Galaxy,T,V_flat,n_pts,burk_chi2r,can_n,can_chi2r,can_bic,rel_n,rel_chi2r,rel_bic,dchi2r,dbic,dn,class,transition
ESO079-G014,4,175.0,15,1.0243394779617043,1,0.2604414634014924,16.144665639525975,1,0.2604414633858921,16.144665639369972,1.5600298830520387e-11,-1.560032103498088e-10,0,stable_adequate,1→1
ESO116-G012,7,109.1,15,0.7795142780748077,0,0.7795142780748077,15.54978601717692,0,0.7795142780748077,15.54978601717692,0.0,0.0,0,stable_adequate,0→0
ESO563-G021,4,314.6,27,6.722839412057329,2,0.4239447667447389,34.421645496184674,2,0.2203160480275666,30.5526998405584,0.2036287187171723,-3.8689456556262733,0,stable_adequate,2→2
F568-V1,7,112.3,15,0.0536193400291333,0,0.0536193400291333,6.113151822583154,0,0.0536193400291333,6.113151822583154,0.0,0.0,0,stable_adequate,0→0
F571-8,5,139.7,9,1.3298179705826314,0,1.3298179705826314,13.70317494875086,0,1.3298179705826314,13.70317494875086,0.0,0.0,0,stable_adequate,0→0
F571-V1,7,83.6,7,0.0313849362358345,0,0.0313849362358345,4.0487449792898,0,0.0313849362358345,4.0487449792898,0.0,0.0,0,stable_adequate,0→0
F574-1,7,97.8,14,0.0942443691536982,0,0.0942443691536982,6.409047089074895,0,0.0942443691536982,6.409047089074895,0.0,0.0,0,stable_adequate,0→0
F583-1,9,85.8,25,0.1948175323621351,0,0.1948175323621351,10.918554894065508,0,0.1948175323621351,10.918554894065508,0.0,0.0,0,stable_adequate,0→0
IC2574,9,66.4,34,1.306891611598784,1,0.4610472456186275,31.002172746021003,1,0.5597695114801364,33.865118456004765,-0.09872226586150895,2.8629457099837623,0,stable_adequate,1→1
IC4202,4,242.6,29,3.167003546642054,2,0.3936055839880052,35.204083903639905,2,0.3936055757640396,35.204083730936624,8.223965619613693e-09,-1.7270328100948973e-07,0,stable_adequate,2→2
NGC0024,5,106.3,29,0.7832602874611388,1,0.1300709190585576,19.958181207337752,1,0.1300709190584994,19.95818120733636,5.820344206597383e-14,-1.3926637620897964e-12,0,stable_adequate,1→1
NGC0055,9,85.6,21,0.4829368060930246,0,0.4829368060930246,15.264844191214316,0,0.4829368060930246,15.264844191214316,0.0,0.0,0,stable_adequate,0→0
NGC0100,6,88.1,21,0.08554846328541,0,0.08554846328541,7.714465677869635,0,0.08554846328541,7.714465677869635,0.0,0.0,0,stable_adequate,0→0
NGC0247,7,104.9,26,3.873863765445277,1,0.0650232008494432,17.655969907945718,1,0.0650232008502883,17.655969907963467,-8.451017663446692e-13,1.7749357539287303e-11,0,stable_adequate,1→1
NGC0289,4,163.0,28,2.5970755247906205,1,1.6520257362651904,54.6576144849754,1,0.8979135018743191,37.31303309398536,0.7541122343908714,-17.344581390990037,0,rescued,1→1
NGC0300,7,93.3,25,0.5833510175762591,0,0.5833510175762591,19.85482505399036,0,0.5833510175762591,19.85482505399036,0.0,0.0,0,stable_adequate,0→0
