galaxy,r_sh,phi_mid,med_in,med_off,ratio,n_pix_in,tag
NGC5055,8.79,5.0,0.33707648515701294,0.19733503460884094,1.7081431375080893,117,HR_mom0m
NGC5055,8.79,15.0,0.3507422208786011,0.07852507382631302,4.466627075759216,115,HR_mom0m
NGC5055,8.79,25.0,0.3713134825229645,0.06388064101338387,5.812613596741605,110,HR_mom0m
NGC5055,8.79,35.0,0.38894475996494293,0.08923940360546112,4.358441946614947,118,HR_mom0m
NGC5055,8.79,45.0,0.450778603553772,0.12914679199457169,3.490435934116886,113,HR_mom0m
NGC5055,8.79,55.0,0.45654693245887756,0.2003985121846199,2.2781952195247706,117,HR_mom0m
NGC5055,8.79,65.0,0.32680778205394745,0.19080501794815063,1.7127840010096287,112,HR_mom0m
NGC5055,8.79,75.0,0.3363063931465149,0.1033594124019146,3.253756821282831,115,HR_mom0m
NGC5055,8.79,85.0,0.3114209771156311,0.08434745669364929,3.692120537157568,113,HR_mom0m
NGC5055,8.79,95.0,0.294160395860672,0.09299949929118156,3.1630320389108264,114,HR_mom0m
NGC5055,8.79,105.0,0.3459354341030121,0.0640270784497261,5.402955163332022,114,HR_mom0m
NGC5055,8.79,115.0,0.3291955292224884,0.11271024495363235,2.920724104165646,113,HR_mom0m
NGC5055,8.79,125.0,0.32809118926525116,0.13098211586475372,2.5048548582313592,114,HR_mom0m
NGC5055,8.79,135.0,0.29441511631011963,0.0685061439871788,4.297645425280696,113,HR_mom0m
NGC5055,8.79,145.0,0.29721610248088837,0.0797029584646225,3.7290473052240936,114,HR_mom0m
NGC5055,8.79,155.0,0.25774501264095306,0.16682882606983185,1.5449668903925822,114,HR_mom0m
NGC5055,8.79,165.0,0.20752763003110886,0.35181981325149536,0.5898690813150979,114,HR_mom0m
NGC5055,8.79,175.0,0.18684683740139008,0.32616478204727173,0.5728602463717557,115,HR_mom0m
NGC5055,8.79,185.0,0.2731170654296875,0.25669994950294495,1.063954496128774,115,HR_mom0m
NGC5055,8.79,195.0,0.3167697787284851,0.1968836486339569,1.6089186731673115,115,HR_mom0m
NGC5055,8.79,205.0,0.30195944011211395,0.17438124120235443,1.7316050627355954,110,HR_mom0m
NGC5055,8.79,215.0,0.2344876229763031,0.18924292922019958,1.239082611659734,118,HR_mom0m
NGC5055,8.79,225.0,0.21694055199623108,0.18790577352046967,1.1545177560635118,113,HR_mom0m
NGC5055,8.79,235.0,0.22337857633829117,0.18363100290298462,1.2164535008083894,118,HR_mom0m
NGC5055,8.79,245.0,0.24023879319429398,0.19631138443946838,1.223763939520127,112,HR_mom0m
NGC5055,8.79,255.0,0.2676767408847809,0.23810101300477982,1.1242150443072971,115,HR_mom0m
NGC5055,8.79,265.0,0.30477088689804077,0.16173475980758667,1.8843870498872473,113,HR_mom0m
NGC5055,8.79,275.0,0.3131936639547348,0.07346578687429428,4.263122703505969,114,HR_mom0m
NGC5055,8.79,285.0,0.363137811422348,0.047632405534386635,7.62375545279133,114,HR_mom0m
NGC5055,8.79,295.0,0.34967175126075745,0.06620504334568977,5.281648248985287,114,HR_mom0m
NGC5055,8.79,305.0,0.3332197666168213,0.06836964562535286,4.873796895815072,114,HR_mom0m
NGC5055,8.79,315.0,0.36911484599113464,0.09134481847286224,4.040895281879568,113,HR_mom0m
NGC5055,8.79,325.0,0.3512273132801056,0.1165551170706749,3.0134010595788236,115,HR_mom0m
NGC5055,8.79,335.0,0.3249994367361069,0.18725314736366272,1.7356153491237627,112,HR_mom0m
NGC5055,8.79,345.0,0.3202711343765259,0.30434978008270264,1.052312685389478,114,HR_mom0m
NGC5055,8.79,355.0,0.34842315316200256,0.2210950404405594,1.575897643238519,114,HR_mom0m
NGC5055,14.87,5.0,0.1251964569091797,0.02907579392194748,4.305865464766443,325,HR_mom0m
