phi_mid,ratio,n_pix,tracer,shell,r_sh
5.0,2.969417616935794,2581,THINGS NA,2,3.955
15.0,1.5942955083038266,2581,THINGS NA,2,3.955
25.0,1.5900950924635373,2580,THINGS NA,2,3.955
35.0,1.6172212853237402,2575,THINGS NA,2,3.955
45.0,1.6364307769241757,2575,THINGS NA,2,3.955
55.0,1.6426451081749225,2576,THINGS NA,2,3.955
65.0,1.3730469549685809,2572,THINGS NA,2,3.955
75.0,1.2002191737907792,2573,THINGS NA,2,3.955
85.0,0.7959850243872695,2570,THINGS NA,2,3.955
95.0,0.5193384636254506,2573,THINGS NA,2,3.955
105.0,0.7528897770408006,2571,THINGS NA,2,3.955
115.0,0.9893449035322707,2576,THINGS NA,2,3.955
125.0,0.6774649552626445,2569,THINGS NA,2,3.955
135.0,0.8786824986653188,2571,THINGS NA,2,3.955
145.0,1.8175181391392639,2562,THINGS NA,2,3.955
155.0,1.9164651816327876,2570,THINGS NA,2,3.955
165.0,1.7315542224991212,2575,THINGS NA,2,3.955
175.0,2.260461796823462,2566,THINGS NA,2,3.955
185.0,1.7486141788885137,2574,THINGS NA,2,3.955
195.0,1.5787576707268451,2570,THINGS NA,2,3.955
205.0,1.2349255266263421,2576,THINGS NA,2,3.955
215.0,1.042170427088883,2572,THINGS NA,2,3.955
225.0,0.9093919956522898,2573,THINGS NA,2,3.955
235.0,1.1111900991476351,2572,THINGS NA,2,3.955
245.0,1.2175432535090718,2570,THINGS NA,2,3.955
255.0,1.174704408464139,2577,THINGS NA,2,3.955
265.0,0.7715255496169644,2578,THINGS NA,2,3.955
275.0,0.8441141645269084,2580,THINGS NA,2,3.955
285.0,3.288926694054441,2577,THINGS NA,2,3.955
295.0,2.7155194637793247,2590,THINGS NA,2,3.955
305.0,1.3276278798491654,2570,THINGS NA,2,3.955
315.0,1.1094847718696215,2577,THINGS NA,2,3.955
325.0,1.6789273778687204,2583,THINGS NA,2,3.955
335.0,3.536596092606605,2580,THINGS NA,2,3.955
345.0,1.832262931541053,2581,THINGS NA,2,3.955
355.0,3.5926322632090284,2575,THINGS NA,2,3.955
5.0,2.945491234596932,2581,THINGS RO,2,3.955
