Galaxy,T,V_flat,n_pts,M_central_estimate,fw_best_n_shells,fw_best_bic,fw_best_chi2,fw_best_chi2_red,burk_rho0,burk_a_kpc,shell1_r_kpc,shell1_M,shell1_sigma_kpc,shell1_M_BH_single,shell1_decomp_n_BH,shell1_decomp_M_BH_each,shell1_decomp_central_ratio,shell1_decomp_acceptable,shell2_r_kpc,shell2_M,shell2_sigma_kpc,shell2_M_BH_single,shell2_decomp_n_BH,shell2_decomp_M_BH_each,shell2_decomp_central_ratio,shell2_decomp_acceptable,shell3_r_kpc,shell3_M,shell3_sigma_kpc,shell3_M_BH_single,shell3_decomp_n_BH,shell3_decomp_M_BH_each,shell3_decomp_central_ratio,shell3_decomp_acceptable,shell4_r_kpc,shell4_M,shell4_sigma_kpc,shell4_M_BH_single,shell4_decomp_n_BH,shell4_decomp_M_BH_each,shell4_decomp_central_ratio,shell4_decomp_acceptable
D631-7,10,57.7,16,289985.0485379824,0,13.163467650676925,7.747367248472504,0.5959513268055772,10007308.879340056,7.241423305419615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDO064,10,46.1,14,108015.50497849072,0,9.367381808013818,4.089267148783302,0.34077226239860847,57112792.43660924,1.908946851565782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDO154,10,47.0,12,117606.84610495389,0,11.856723993524529,6.886910693948527,0.6886910693948527,27455769.25865201,2.5812608452904633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDO161,10,66.3,31,534393.9756602272,0,14.386658489964425,7.518684080994132,0.25926496831014245,6346090.0326940175,7.394408334130553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDO168,10,53.4,10,206245.06211654225,1,13.883437699327258,2.3705122343570277,0.47410244687140557,290368515.96387994,0.10000000000002063,2.358185970861751,1957866160.336779,0.672631829355088,430.7805144258595,1.0,430.7805144258595,0.002088682802899978,True,,,,,,,,,,,,,,,,,,,,,,,,
DDO170,10,60.0,8,344403.4793694349,1,11.489031328783026,1.0918236203838474,0.3639412067946158,1295827.5105548715,24.26738884115083,3.858604954182823,2455344205.448888,1.4204538464993794,1153.4236853446903,1.0,1153.4236853446903,0.0033490477141998767,True,,,,,,,,,,,,,,,,,,,,,,,,
ESO079-G014,4,175.0,15,38244540.104020566,1,16.14466563986294,2.604414634351888,0.2604414634351888,7358779.706923057,19.606995152796454,6.361527049724578,23592779741.551327,2.0170054412350042,21706467.008297883,5.0,4341293.401659576,0.11351406997840158,False,,,,,,,,,,,,,,,,,,,,,,,,
ESO116-G012,7,109.1,15,4782235.193617191,0,15.549786017178018,10.133685614973599,0.7795142780748923,66532912.22829161,3.6386725211935955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESO563-G021,4,314.6,30,505056993.431859,2,30.5526998405584,4.186004912523767,0.22031604802756669,9473821.401779227,27.083255987183,7.725475478158285,98612242877.01892,2.1100485887098563,10929470937.372282,5.0,2185894187.4744563,4.328014889213432,False,4.688902156646915,18171417365.95874,0.395029140158731,6971741.810168588,2.0,3485870.905084294,0.0069019357229326206,True,,,,,,,,,,,,,,,,
F568-V1,7,112.3,15,5430914.381310255,0,6.113151822583155,0.6970514203787349,0.053619340029133454,114107755.53173478,2.9929608443842954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
