Galaxy,T,V_flat,n_pts,M_central_estimate,fw_best_n_shells,fw_best_bic,fw_best_chi2,fw_best_chi2_red,burk_rho0,burk_a_kpc,shell1_r_kpc,shell1_M,shell1_sigma_kpc,shell1_M_BH_single,shell1_decomp_n_BH,shell1_decomp_M_BH_each,shell1_decomp_central_ratio,shell1_decomp_acceptable,shell2_r_kpc,shell2_M,shell2_sigma_kpc,shell2_M_BH_single,shell2_decomp_n_BH,shell2_decomp_M_BH_each,shell2_decomp_central_ratio,shell2_decomp_acceptable
D631-7,10,57.7,16,289985.0485379824,0,13.163467650676925,7.747367248472504,0.5959513268055772,10007308.879340056,7.241423305419615,,,,,,,,,,,,,,,,
DDO064,10,46.1,14,108015.50497849072,0,9.367381808013818,4.089267148783302,0.34077226239860847,57112792.43660924,1.908946851565782,,,,,,,,,,,,,,,,
DDO154,10,47.0,12,117606.84610495389,0,11.856723993524529,6.886910693948527,0.6886910693948527,27455769.25865201,2.5812608452904633,,,,,,,,,,,,,,,,
DDO161,10,66.3,31,534393.9756602272,0,14.386658489964425,7.518684080994132,0.25926496831014245,6346090.0326940175,7.394408334130553,,,,,,,,,,,,,,,,
DDO168,10,53.4,10,206245.06211654225,1,13.984476701465884,2.471551236495654,0.4943102472991308,13746613.134397645,0.1023797512090557,2.3681731180339898,1983299900.4118176,0.6903824844749055,455.65852168129953,1.0,455.65852168129953,0.0022093063320169186,True,,,,,,,,
DDO170,10,60.0,8,344403.4793694349,1,11.489031328663467,1.0918236202642873,0.36394120675476244,1295821.52072852,24.26758157487029,3.8586071170842713,2455348622.352626,1.4204552535333452,1153.4327111296657,1.0,1153.4327111296657,0.003349073921208563,True,,,,,,,,
ESO079-G014,4,175.0,15,38244540.104020566,1,16.14466563940617,2.60441463389512,0.260441463389512,7358609.73338109,19.607418131439463,6.36153611023773,23593059720.80243,2.0170111985396204,21707587.564816732,5.0,4341517.512963346,0.11351992993391838,False,,,,,,,,
ESO116-G012,7,109.1,15,4782235.193617191,0,15.549786017178018,10.133685614973599,0.7795142780748923,66532912.22829161,3.6386725211935955,,,,,,,,,,,,,,,,
ESO563-G021,4,314.6,30,505056993.431859,2,30.552699840560788,4.186004912526155,0.22031604802769236,9473823.47487782,27.08325178554185,4.688902138478004,18171417809.196873,0.39502916893493356,6971742.549908223,2.0,3485871.2749541113,0.006901936455265451,True,7.725475315426444,98612231439.38463,2.1100484537100725,10929465423.030561,5.0,2185893084.6061125,4.328012705562164,False
F568-V1,7,112.3,15,5430914.381310255,0,6.113151822583155,0.6970514203787349,0.053619340029133454,114107755.53173478,2.9929608443842954,,,,,,,,,,,,,,,,
F571-8,5,139.7,13,14192738.974418007,0,13.703174948832629,9.308725794160189,1.3298179705943127,29068791.30648465,8.157261761179566,,,,,,,,,,,,,,,,
F571-V1,7,83.6,7,1482209.6940727152,0,4.048744979289803,0.15692468117917643,0.031384936235835284,17634950.86652221,5.440086689575692,,,,,,,,,,,,,,,,
F574-1,7,97.8,14,2955922.1350647374,0,6.409047089074895,1.1309324298443786,0.09424436915369822,53940499.73553294,3.5408736135661827,,,,,,,,,,,,,,,,
F583-1,9,85.8,25,1661675.035288747,0,10.91855489407332,4.4808032443369195,0.19481753236247476,25830810.702880066,4.588204579385086,,,,,,,,,,,,,,,,
