Galaxy,T,V_flat,burk_a_kpc,burk_bic,burk_chi2,burk_chi2_red,burk_rho0,fw_best_bic,fw_best_chi2,fw_best_chi2_red,fw_best_n_shells,fw_n0_bic,fw_n0_chi2,fw_n0_chi2_red,fw_n1_M_sh1,fw_n1_bic,fw_n1_chi2,fw_n1_chi2_red,fw_n1_r_sh1_kpc,fw_n1_sigma_sh1_kpc,fw_n2_M_sh1,fw_n2_M_sh2,fw_n2_bic,fw_n2_chi2,fw_n2_chi2_red,fw_n2_r_sh1_kpc,fw_n2_r_sh2_kpc,fw_n2_sigma_sh1_kpc,fw_n2_sigma_sh2_kpc,is_clean,logM_halo,logM_star,n_excluded,n_pts_total,n_pts_used,nfw_bic,nfw_chi2,nfw_chi2_red,nfw_r_s_kpc,nfw_rho_s,ratio_fw_over_burk,ratio_fw_over_nfw
ESO079-G014,4,175.0,8.029104411232685,18.732513615706576,13.316413213502155,1.0243394779617043,32069384.1192912,16.144665639369972,2.6044146338589207,0.2604414633858921,1,18.732513615706576,13.316413213502155,1.0243394779617043,23592931517.633717,16.144665639369972,2.6044146338589207,0.2604414633858921,6.361532861964368,2.017009375634286,10076030453.791357,2455876336.733913,24.18971616190445,2.5253145530867704,0.3607592218695386,6.429626416532471,3.56503247522388,0.8679650362962216,0.244737432058097,True,12.152458642707415,10.412737668240323,0,15,15,54.91149705451474,49.49539665231032,3.807338204023871,68.21747054741157,1030414.7672734717,0.19557928941542446,0.052619330483481504
ESO116-G012,7,109.1,3.638672747809424,15.54978601717692,10.1336856149725,0.7795142780748077,66532905.7684749,15.54978601717692,10.1336856149725,0.7795142780748077,0,15.54978601717692,10.1336856149725,0.7795142780748077,3050556903.3024607,18.513099537426754,4.972848531915702,0.4972848531915702,4.425449701117876,1.6190702465855755,1741635470.2800987,2849095188.8783636,24.8194093049657,3.155007696148019,0.4507153851640027,2.158709910007733,3.985996302080157,0.8149408930603919,0.2866000248547365,True,11.53681874841356,9.331629717629932,0,15,15,35.814578157115335,30.398477754910918,2.338344442685455,24.04646081360211,2793553.801857206,1.0,0.3333616142451537
ESO563-G021,4,314.6,8.723264440653686,174.6626590334419,168.07098530143324,6.722839412057329,83788777.79692943,30.5526998405584,4.186004912523767,0.22031604802756669,2,174.6626590334419,168.07098530143324,6.722839412057329,79874104261.00839,41.646428933509966,25.167244603488324,1.1439656637949238,6.313864983280341,1.534215609106575,98612242877.01892,18171417365.95874,30.5526998405584,4.186004912523767,0.22031604802756669,7.725475478158285,4.688902156646915,2.1100485887098563,0.395029140158731,False,12.91662065151034,11.191977493867602,3,30,27,367.54933498559205,360.9576612535834,14.438306450143337,33.054111454744955,6681813.205197668,0.02490617226415505,0.011596941585852573
F568-V1,7,112.3,2.992960829210267,6.113151822583154,0.6970514203787336,0.05361934002913335,114107756.41358398,6.113151822583154,0.6970514203787336,0.05361934002913335,0,6.113151822583154,0.6970514203787336,0.05361934002913335,1063493171.1648453,14.065557453429353,0.5253064479183012,0.05253064479183012,5.0489419243871945,0.07629260605677853,3931073578.281944,11428301860.223763,21.680870617837435,0.01646900901975529,0.002352715574250756,2.100771084902958,4.755382474239223,0.6778088313877024,1.2837781147204241,True,11.574483765432907,9.281601443825656,0,15,15,8.240021207925697,2.8239208057212775,0.2172246773631752,8.012874819928658,17230663.69470997,1.0,0.24683816166746034
F571-8,5,139.7,8.157272934566318,13.70317494875086,9.30872579407842,1.3298179705826314,29068745.066364277,13.70317494875086,9.30872579407842,1.3298179705826314,0,13.70317494875086,9.30872579407842,1.3298179705826314,15977931463.732523,14.320203985225463,3.334081098544365,0.8335202746360912,6.2197164376376,1.7314331613681433,5411816518.739558,23428703177.82741,17.628182525571425,0.050385906881669086,0.050385906881669086,4.5524296558827855,7.649146094018044,0.45190980647075446,2.1370034283703347,False,11.85893371499108,9.70603466071435,4,13,9,27.75439220956099,23.35994305488855,3.337134722126936,86.0053730647367,746931.0931876488,1.0,0.3984909454704504
F571-V1,7,83.6,5.440086177585878,4.0487449792898,0.15692468117917271,0.03138493623583454,17634953.418500338,4.0487449792898,0.15692468117917271,0.03138493623583454,0,4.0487449792898,0.15692468117917271,0.03138493623583454,1055307711.0028899,9.746125752539712,0.016575007263146934,0.008287503631573467,3.917213363935407,0.1332153885188918,2362839074.5586324,11325824310.705866,15.567986399336338,0.0007052068938325049,0.0007052068938325049,3.9110233763505042,8.090755310868241,0.2407331959142191,3.15244072411152,True,11.189963328965584,8.965906915495191,0,7,7,5.485680934274249,1.5938606361636232,0.31877212723272463,26.16328361134044,1150215.4932787295,1.0,0.0984557103793503
F574-1,7,97.8,3.5408736135661827,6.409047089074895,1.1309324298443786,0.09424436915369822,53940499.73553294,6.409047089074895,1.1309324298443786,0.09424436915369822,0,6.409047089074895,1.1309324298443786,0.09424436915369822,1604620439.9401152,13.280667790124204,0.08538114204791059,0.009486793560878955,2.8210862685455083,0.8246686895261982,1705328435.1027973,2338533000.839062,21.128215223981826,0.015756587059757996,0.002626097843292999,3.0082255193309795,8.412177439753819,0.8109957693556282,1.7401056864037043,True,11.394361061011338,9.514348489301938,0,14,14,25.00279381116654,19.724679151936023,1.6437232626613352,15.908198076629645,3600211.893340865,1.0,0.057335910061349464
F583-1,9,85.8,4.588203947974259,10.918554894065508,4.480803244329108,0.19481753236213512,25830814.683669746,10.918554894065508,4.480803244329108,0.19481753236213512,0,10.918554894065508,4.480803244329108,0.19481753236213512,1289391158.993747,18.636298157239953,2.54191903289895,0.1270959516449475,3.4943778192548502,1.0602922595296553,617904753.5662286,2886764880.916893,27.38294480519733,1.631938206251726,0.09599636507363095,2.2067954316499687,4.487451534532764,0.5282763791748706,1.3682136448043851,True,11.22380636019465,8.69284691927723,0,25,25,42.39528780296691,35.957536153230514,1.563371137096979,29.88163738364087,1059542.650034284,1.0,0.12461374509183498
IC2574,9,66.4,10.817278803042761,48.87325262039341,41.820531571161084,1.3068916115987839,4475181.534475452,33.865118456004765,16.233315832923957,0.5597695114801364,1,48.87325262039341,41.820531571161084,1.3068916115987839,3756015168.68245,33.865118456004765,16.233315832923957,0.5597695114801364,7.875890798446106,1.2443965398822934,646644891.3056678,3279169998.931814,40.81608058456948,12.605196387640182,0.48481524567846856,6.2641713644695525,8.528254792479663,0.2500179903488612,1.0580720071825052,True,10.889848734752588,8.70586371228392,0,34,34,171.31635000499338,164.26362895576105,5.133238404867533,499.99999999996106,20816.710464507552,0.3881661763505237,0.09882477293434118
IC4202,4,242.6,6.556600890462001,92.24368741930842,85.50909575933547,3.167003546642054,67070145.92413735,35.204083730936624,8.265717091044833,0.39360557576403965,2,92.24368741930842,85.50909575933547,3.167003546642054,35449613299.98368,48.53656038954595,31.700081239613578,1.3208367183172325,5.412303991193065,1.4333364100114467,11875405510.507639,26111131905.4397,35.204083730936624,8.265717091044833,0.39360557576403965,3.925190794891922,6.29501762097986,0.04133154547524633,0.8726077329144601,False,12.578016886240198,10.9536364872814,3,32,29,135.25665065677342,128.52205899680047,4.760076259140758,24.41568680676633,5943654.825117352,0.09666477019367173,0.06431360620553556
