Galaxy,T,V_flat,burk_a_kpc,burk_bic,burk_chi2,burk_chi2_red,burk_rho0,fw_best_bic,fw_best_chi2,fw_best_chi2_red,fw_best_n_shells,fw_n0_bic,fw_n0_chi2,fw_n0_chi2_red,fw_n1_M_sh1,fw_n1_bic,fw_n1_chi2,fw_n1_chi2_red,fw_n1_r_sh1_kpc,fw_n1_sigma_sh1_kpc,fw_n2_M_sh1,fw_n2_M_sh2,fw_n2_bic,fw_n2_chi2,fw_n2_chi2_red,fw_n2_r_sh1_kpc,fw_n2_r_sh2_kpc,fw_n2_sigma_sh1_kpc,fw_n2_sigma_sh2_kpc,is_clean,logM_halo,logM_star,n_excluded,n_pts_total,n_pts_used,nfw_bic,nfw_chi2,nfw_chi2_red,nfw_r_s_kpc,nfw_rho_s,ratio_fw_over_burk,ratio_fw_over_nfw
ESO079-G014,4,175.0,8.191756218974222,19.64454569955159,14.228445297347168,1.0944957921036282,29861815.075435504,16.32603803620478,2.7857870306937285,0.2785787030693728,1,19.64454569955159,14.228445297347168,1.0944957921036282,22240716164.45876,16.32603803620478,2.7857870306937285,0.2785787030693728,6.2829331995323665,1.9162395205186418,2702249017.1795554,11087236897.626345,23.906890545536992,2.242488936719313,0.3203555623884733,3.4470830445393186,6.40823639588433,0.10954839927394738,0.9027175877662359,True,12.152458642707415,10.412737668240323,0,15,15,53.87167622769336,48.455575825488935,3.727351986576072,75.96831799156776,867079.5026467816,0.19578998073760923,0.057491567961686044
ESO116-G012,7,109.1,3.5130571982758103,15.956090913482907,10.539990511278486,0.8107685008675758,71697024.53169435,15.956090913482907,10.539990511278486,0.8107685008675758,0,15.956090913482907,10.539990511278486,0.8107685008675758,3043043440.824001,18.630832928739977,5.090581923228926,0.5090581923228926,4.53743680002288,1.6711690566507404,1715953124.9700053,2826486826.085367,24.751075411865475,3.0866738030477943,0.44095340043539916,2.0951035286383255,3.972401197885185,0.7964117882255429,0.2852086722375469,True,11.53681874841356,9.331629717629932,0,15,15,35.547797844949606,30.13169744274519,2.3178228802111684,21.54217816804986,3291961.014037822,1.0,0.34979743611544195
ESO563-G021,4,314.6,8.975240162387802,177.83177101737516,171.24009728536652,6.84960389141466,76007604.62116534,48.82595156938255,22.45925664134792,1.1820661390183116,2,177.83177101737516,171.24009728536652,6.84960389141466,49999999999.99999,51.29992248779165,34.82073815777,1.582760825353182,5.844150384722709,1.0949290473811948,49999619362.805786,7112102921.921433,48.82595156938255,22.45925664134792,1.1820661390183116,5.999999999999999,4.416746902414088,1.1354613307326993,0.0468530081451143,False,12.91662065151034,11.191977493867602,3,30,27,350.32396589883285,343.7322921668242,13.749291686672969,35.70285745832669,5639407.7587775085,0.13115652815777276,0.06533938519354396
F568-V1,7,112.3,2.982671344215987,6.107847151756831,0.6917467495524108,0.053211288427108525,115802476.11044286,6.107847151756831,0.6917467495524108,0.053211288427108525,0,6.107847151756831,0.6917467495524108,0.053211288427108525,1079919857.6138294,14.05484490006706,0.514593894556009,0.0514593894556009,5.060781761145143,0.05374157486858503,3931735497.84972,11554801390.422922,21.682028419573268,0.01762681075558876,0.002518115822226966,2.0939350980871883,4.747207205750826,0.6771925306030386,1.291307281603002,True,11.574483765432907,9.281601443825656,0,15,15,8.27336297396076,2.857262571756339,0.21978942859664147,7.960758782346597,17574442.769906882,1.0,0.24210121827452452
F571-8,5,139.7,8.157272934566318,13.70317494875086,9.30872579407842,1.3298179705826314,29068745.066364277,13.70317494875086,9.30872579407842,1.3298179705826314,0,13.70317494875086,9.30872579407842,1.3298179705826314,15977666780.088066,14.320203985832201,3.3340810991511036,0.8335202747877759,6.2197259761385455,1.7314177825182602,5411752613.19878,23428618758.78685,17.62818252564513,0.050385906955372026,0.050385906955372026,4.552435421125172,7.649137528592359,0.4518976072302344,2.1370080208940108,False,11.85893371499108,9.70603466071435,4,13,9,27.75439220956099,23.35994305488855,3.337134722126936,86.0053730647367,746931.0931876488,1.0,0.3984909454704504
F571-V1,7,83.6,5.366063944609666,4.042382382571882,0.15056208446125563,0.030112416892251127,18186889.793851968,4.042382382571882,0.15056208446125563,0.030112416892251127,0,4.042382382571882,0.15056208446125563,0.030112416892251127,1020575283.5059196,9.74623503331181,0.01668428803524507,0.008342144017622535,3.9236002231257574,0.1803682985313247,1204789899.9018161,830989124.4588574,15.56728119244251,3.614218152941412e-15,3.614218152941412e-15,3.9668341306904997,9.002118160371564,0.2859084553202232,0.958795260633047,True,11.189963328965584,8.965906915495191,0,7,7,5.488367580581729,1.5965472824711024,0.3193094564942205,25.198567744322297,1223250.52753214,1.0,0.09430480770241817
F574-1,7,97.8,3.5128961595945727,6.31005068370151,1.0319360244709932,0.0859946687059161,55618170.738414,6.31005068370151,1.0319360244709932,0.0859946687059161,0,6.31005068370151,1.0319360244709932,0.0859946687059161,1568139066.0671773,13.281788704725704,0.08650205664941164,0.009611339627712405,2.794970321704364,0.8301941505146302,1635367993.5029538,2593239457.852411,21.128559376745816,0.016100739823748756,0.0026834566372914595,3.0078011710686803,8.484846060206548,0.8071793771501339,1.8411201849265,True,11.394361061011338,9.514348489301938,0,14,14,25.1656191163631,19.887504457132582,1.6572920380943819,15.627477805916424,3760443.9718676046,1.0,0.051888663391393634
F583-1,9,85.8,4.527262379251925,10.739806655461024,4.302055005724622,0.187045869814114,26670735.51009092,10.739806655461024,4.302055005724622,0.187045869814114,0,10.739806655461024,4.302055005724622,0.187045869814114,1295432558.4039888,18.518726497948887,2.4243473736078824,0.12121736868039412,3.5092328403556245,1.07788630727647,1406240977.5880833,1350541507.3385644,27.425818118494128,1.6748115195485245,0.09851832467932498,2.6591492121274527,4.73441075621271,0.786775009142065,0.5959808809649942,True,11.22380636019465,8.69284691927723,0,25,25,42.55667338312675,36.11892173339035,1.5703879014517543,28.853616729437988,1125003.5753297796,1.0,0.1191080685486677
IC2574,9,66.4,9.94881008503058,50.0425314318271,42.989810382594776,1.3434315744560867,4900949.403287764,30.61447996698282,12.982677343902013,0.44767852910006944,1,50.0425314318271,42.989810382594776,1.3434315744560867,345539263.3875342,30.61447996698282,12.982677343902013,0.44767852910006944,2.434060683665482,0.7398107643604481,475936888.62835866,9051518881.642569,35.42594537088151,7.2150611739522175,0.27750235284431607,2.6131596503583077,8.093490568007555,0.5939915718633964,2.187962351450216,True,10.889848734752588,8.70586371228392,0,34,34,164.2584032535181,157.20568220428578,4.912677568883931,499.9999999986649,21630.849985172485,0.30199429186499255,0.0825840208945582
IC4202,4,242.6,6.511186196413881,95.9264354546115,89.19184379463854,3.30340162202365,63859880.15084133,36.64267182947787,9.704305189586076,0.4621097709326703,2,95.9264354546115,89.19184379463854,3.30340162202365,34219712406.964058,48.64470356977118,31.808224419838808,1.3253426841599503,5.344414355590962,1.395374947223707,24130463502.713303,10112562788.363993,36.64267182947787,9.704305189586076,0.4621097709326703,5.999999999999999,3.8505851458573734,0.8880186972702305,0.1103971462638175,False,12.578016886240198,10.9536364872814,3,32,29,130.30974168446104,123.57515002448811,4.576857408314375,24.404102579369546,5603358.378066828,0.10880260769056348,0.07852958452943845
