galaxy,r_sh,phi_mid,val_in,val_off,ratio,n_pix_in
NGC5055,14.87,5.0,36.27007484436035,6.51804256439209,5.564565509667411,692
NGC5055,14.87,15.0,32.97745895385742,6.527012348175049,5.052458490150997,691
NGC5055,14.87,25.0,36.207069396972656,5.843844652175903,6.195761789028953,690
NGC5055,14.87,35.0,34.848310470581055,7.909156322479248,4.406071779304181,692
NGC5055,14.87,45.0,37.298789978027344,10.852251052856445,3.436963427805132,689
NGC5055,14.87,55.0,37.1207160949707,9.885706901550293,3.7549885369501874,689
NGC5055,14.87,65.0,37.15779495239258,12.458961963653564,2.9824149925806607,691
NGC5055,14.87,75.0,34.821781158447266,13.90555477142334,2.504163388720592,688
NGC5055,14.87,85.0,38.378170013427734,12.984935760498047,2.955591827429704,691
NGC5055,14.87,95.0,36.892486572265625,10.85428237915039,3.398887672494232,689
NGC5055,14.87,105.0,41.2207088470459,9.888556480407715,4.168526410170873,692
NGC5055,14.87,115.0,42.031558990478516,11.510004997253418,3.651741159148786,677
NGC5055,14.87,125.0,33.45009994506836,12.278620719909668,2.724255493194715,691
NGC5055,14.87,135.0,29.166756629943848,12.87436580657959,2.2654907486812164,690
NGC5055,14.87,145.0,28.454519271850586,11.147651672363281,2.552512413210188,689
NGC5055,14.87,155.0,26.25724220275879,9.26673412322998,2.833494719238438,689
NGC5055,14.87,165.0,27.163002967834473,7.728708744049072,3.5145590120405767,690
NGC5055,14.87,175.0,32.21650695800781,8.31435775756836,3.8748040314577397,689
NGC5055,14.87,185.0,31.939592361450195,8.536138534545898,3.7416909568876044,692
NGC5055,14.87,195.0,28.667993545532227,12.764284133911133,2.2459538854489605,687
NGC5055,14.87,205.0,26.499135971069336,14.677022457122803,1.805484460385848,690
NGC5055,14.87,215.0,28.941322326660156,17.694700241088867,1.6355926877730036,690
NGC5055,14.87,225.0,34.9665641784668,12.595438957214355,2.7761290652310944,690
NGC5055,14.87,235.0,42.03580093383789,9.541326999664307,4.405655621625466,691
NGC5055,14.87,245.0,43.40449905395508,9.562213897705078,4.539168389066481,691
NGC5055,14.87,255.0,43.49122428894043,13.084623336791992,3.323842281852291,690
NGC5055,14.87,265.0,46.022701263427734,13.926921367645264,3.3045854175888953,694
NGC5055,14.87,275.0,41.25912857055664,12.706249237060547,3.2471524681111554,692
NGC5055,14.87,285.0,38.345054626464844,11.909574031829834,3.2196831325774427,691
NGC5055,14.87,295.0,40.66279983520508,7.543856620788574,5.390187258218929,683
NGC5055,14.87,305.0,35.178955078125,6.470450401306152,5.436863416961457,685
NGC5055,14.87,315.0,33.23482894897461,6.084212064743042,5.462470504860391,693
NGC5055,14.87,325.0,36.08171081542969,5.363968372344971,6.726682245453997,690
NGC5055,14.87,335.0,29.35774517059326,5.011005878448486,5.858653109320048,692
NGC5055,14.87,345.0,33.13675308227539,4.2100183963775635,7.8709283338969085,689
NGC5055,14.87,355.0,38.88779640197754,4.383111476898193,8.872189677798785,690
