HostName,RAJ2000,DEJ2000,amaj,bmin,PA,Dist,T-Type,2SXPSNAME,Favg2SXPS,Fpeak2SXPS,2SXPSSep,4XMMName,Fpeak4XMM,4XMMSep,CSC2Name,FpeakCSC2,CSC2Sep,RABdeg,DEBdeg,SepS-X,SepX-C,SepS-C
PGC000108,0.358467,13.1128852,0.3125863463878428,0.217255112085786,148.5,77.19692,9.0,,,,,,,,2CXO J000126.7+130649,9.49386014744e-15,11.474798239787942,0.361644364167319,13.1136492745594,,,
UGC12915,0.4246905,23.4958156,0.706268772311376,0.24601976784072538,135.6699981689453,64.68447,4.8,,,,,,,,2CXO J000140.9+232938,3.55267549143e-15,15.125075995424233,0.420565052190568,23.4939887161103,,,
UGC12915,0.4246905,23.4958156,0.706268772311376,0.24601976784072538,135.6699981689453,64.68447,4.8,,,,,,,,2CXO J000141.1+232949,2.90069593219e-15,11.613309538903254,0.421495280957856,23.497164666432,,,
UGC12915,0.4246905,23.4958156,0.706268772311376,0.24601976784072538,135.6699981689453,64.68447,4.8,,,,,,,,2CXO J000142.9+232935,3.40611035701e-15,16.79564075486498,0.428951462909083,23.493266836477,,,
PGC000196,0.7278645,-35.7221058,0.28377230270427356,0.2022879458487216,122.94000244140625,211.83623,-1.0,,,,,,,,2CXO J000254.5-354308,4.78438113844e-15,11.45392530364657,0.727389172800429,-35.7189476443182,,,
NGC7814,0.812559,16.1456194,2.1825791612008323,0.939658408401636,134.52999877929688,14.45439,2.0,,,,,,,,2CXO J000313.3+160827,6.39245679085e-14,29.373721548536622,0.805517908689524,16.1410553065428,,,
PGC000290,1.0570905,-52.9114828,0.7277295402909831,0.5271934481956295,14.0,139.44405,-3.0,2SXPS J000412.5-525405,9.229e-15,8.3498e-15,36.8902434168936,,,,,,,1.05248,-52.90162,,,
ESO293-034,1.582761,-41.4999877,1.25594321575479,0.394430058809277,15.880000114440918,20.89296,6.2,,,,,,,,2CXO J000619.5-413019,2.26113183086e-14,19.961260764905155,1.58139628116595,-41.5054374814933,,,
ESO293-034,1.582761,-41.4999877,1.2559432157547898,0.3944300588092771,15.88,20.89296,6.2,2SXPS J000621.4-412915,4.086e-14,1.0496e-13,47.91765658385283,,,,,,,1.58956,-41.48769,,,
NGC0035,2.79375,-12.0207222,0.3810395050127058,0.3082975009307412,137.5,85.62488,3.0,,,,,,,,2CXO J001109.4-120059,1.81570969678e-14,21.41259636819312,2.78943656612734,-12.0165294615879,,,
PGC087431,2.9319465,-28.9323356,0.3403846793468706,0.28311964451912636,96.01000213623047,267.6702,-5.0,,,,,,,,2CXO J001143.2-285548,1.45198760503e-14,9.51265876236958,2.93032460098243,-28.9301068425195,,,
NGC0057,3.878625,17.3283889,1.0543140749666462,0.799779014307336,46.75,80.20473,-4.9,,,,,,,,2CXO J001529.9+172025,4.7992193286e-15,45.20592838256215,3.87466476748352,17.3403635462126,,,
